"['id', '7F7EAA76-59DD-483B-99A9-C69F2A95F7CF-500']","['isDefault', 0]"

"['id', '7F87D3E3-49F9-4323-8153-17CC3926860A-1000']","['isDefault', 0]"

"['id', '7F892DF5-1F90-4B6B-B444-1DE0B59DDFA5-1000']","['isDefault', 0]"

"['id', '7F92C855-9792-4D9B-99B1-85EB77780DF0-500']","['isDefault', 0]"

"['id', '7F943E07-EF88-4C99-8496-9FE3D6DDF20E-750']","['isDefault', 0]"

"['id', '7F95447F-B067-41A2-AAED-3F886CADB0EB-750']","['isDefault', 0]"

"['id', '7F96755A-A8E5-4C41-8D0B-F9A93FC25270-1000']","['isDefault', 0]"

"['id', '7F99429C-C107-4B4A-A3C6-3ACC9993BFEC-500']","['isDefault', 1]"

"['id', '7F99D601-0D65-43BE-AA6C-84B34D477876-1000']","['isDefault', 0]"

"['id', '7F9B88BE-D07F-409B-BA77-512213A2DC6F-600']","['isDefault', 1]"

"['id', '7F9C9E14-938E-4986-9DB8-76A0068D3032-750']","['isDefault', 0]"

"['id', '7F9D7862-B1FC-4C30-A072-8A69F84A9FEB-500']","['isDefault', 0]"

"['id', '7FA1C25A-D776-4BB8-A89F-ECD5803BA30A-700']","['isDefault', 0]"

"['id', '7FA295D7-0052-40D7-BC0D-C1F4647A745A-500']","['isDefault', 0]"

"['id', '7FAFBB6D-30A1-46EF-A2BB-354CEC82BBA4-750']","['isDefault', 0]"

"['id', '7FB00176-F246-4AC3-A494-20B53BA9E94D-750']","['isDefault', 0]"

"['id', '7FBCB17D-73B4-4E17-B5D7-46B387BB9AEC-750']","['isDefault', 0]"

"['id', '7FCC3696-5A07-4DEE-99B9-A7CCBA43DF09-500']","['isDefault', 1]"

"['id', '7FD14461-8D7A-4DAE-B88A-FB1A6725E827-500']","['isDefault', 1]"

"['id', '7FDE0BB1-A259-45D0-9580-86E4BADAE72A-1000']","['isDefault', 1]"

"['id', '7FDFD12A-DA7C-444B-BCFA-04D807D1AABD-500']","['isDefault', 1]"

"['id', '7FE8380D-F69B-4AFC-B125-AF71A862C3F7-500']","['isDefault', 0]"

"['id', '7FE8D23C-FA67-4E10-93D0-1410D8DB5E17-1250']","['isDefault', 0]"

"['id', '7FECAFE9-F80E-4A21-8C6F-BCC2AF2F1308-500']","['isDefault', 1]"

"['id', '7FF1705C-7E1D-4BBD-8BBC-D6A464AF822C-1000']","['isDefault', 0]"

"['id', '7FF38D7F-3593-4D20-A4E2-0D09D8D0D841-700']","['isDefault', 0]"

"['id', '7FF3AB69-583A-4086-BD5B-27E5EF6E5A8B-750']","['isDefault', 0]"

"['id', '7FFB76ED-46CF-4E5B-988B-0DC0F9A4ACC8-600']","['isDefault', 1]"

"['id', '80008002-A684-4EE0-9ADA-BDECFD082476-500']","['isDefault', 0]"

"['id', '8001903A-0460-4A01-90A0-CF4341EF7A5A-750']","['isDefault', 0]"

"['id', '800272E8-9A2A-4E85-B08C-0148EBE34099-700']","['isDefault', 0]"

"['id', '8006CCBC-AEF9-44E2-98C3-21614B603BE2-1000']","['isDefault', 0]"

"['id', '800763BC-CF35-452F-85C7-EBC9F93D53DB-500']","['isDefault', 0]"

